slug,name,category,history_source_mode,has_avax_history,has_total_history,avax_history_days,total_history_days,current_avax_core_tvl,current_total_core_tvl,current_non_avax_core_tvl,current_avax_share,active_chain_count_core,data_quality_score_v2,current_status,current_tvl_band_avax,low_tvl_now_avax,migrated_candidate,core_eligible,core_universe_status,boundary_reason,label_confidence_v2,structural_decay_label_v2,structural_decay_target_v2
avaviking,AvaViking,Yield,avax_core,1,1,1532,1532,42.5051,42.5051,0.0,1.0,0.0,1.0,low_tvl_on_avax,lt_10k,1.0,0,1,core_eligible,,1.0,structural_decay,1.0
avaware,Avaware,Yield,avax_core,1,1,1504,1504,143.54977,143.54977,0.0,1.0,0.0,1.0,low_tvl_on_avax,lt_10k,1.0,0,1,core_eligible,,1.0,structural_decay,1.0
axial,Axial,Dexs,avax_core,1,1,1574,1574,37337.00969,37337.00969,0.0,1.0,1.0,1.0,active_on_avax,ge_10k,0.0,0,1,core_eligible,,1.0,structural_decay,1.0
baguette,Baguette,Dexs,avax_core,1,1,1785,1785,21289.50526,21289.50526,0.0,1.0,1.0,1.0,active_on_avax,ge_10k,0.0,0,1,core_eligible,,1.0,structural_decay,1.0
baki,Baki,CDP,avax_core,1,1,859,859,5961.75733,5961.75733,0.0,1.0,0.0,1.0,low_tvl_on_avax,lt_10k,1.0,0,1,core_eligible,,1.0,structural_decay,1.0
baklava-space,Baklava Space,Yield,avax_core,1,1,929,929,6421.93652,6422.5463500000005,0.6098300000003292,0.9999050485637989,0.0,1.0,low_tvl_on_avax,lt_10k,1.0,0,1,core_eligible,,1.0,resilient_or_unproven,0.0
balanced-exchange,Balanced Exchange,Dexs,avax_core,1,1,690,1662,1693069.87654,3806305.74262,2113235.86608,0.44480658964999664,7.0,1.0,active_on_avax,ge_10k,0.0,0,1,core_eligible,,1.0,resilient_or_unproven,0.0
balancer-v2,Balancer V2,Dexs,avax_core,1,1,933,1765,130875.47206,44862485.86844,44731610.39638,0.0029172585853533516,9.0,1.0,active_on_avax,ge_10k,0.0,0,1,core_eligible,,1.0,resilient_or_unproven,0.0
balancer-v3,Balancer V3,Dexs,avax_core,1,1,335,453,739307.19042,96558868.42568001,95819561.23526001,0.007656543645072169,9.0,0.983562,active_on_avax,ge_10k,0.0,0,1,core_eligible,,0.983562,censored,
balmy,Balmy,DCA Tools,avax_core,1,1,611,1651,44.08471,190891.74224000002,190847.65753000003,0.0002309408960423976,4.0,1.0,low_tvl_on_avax,lt_10k,1.0,1,1,core_eligible,,1.0,structural_decay,1.0
banksy-farm,Banksy Farm,Yield,avax_core,1,1,1531,1531,9371.94871,9371.94871,0.0,1.0,0.0,1.0,low_tvl_on_avax,lt_10k,1.0,0,1,core_eligible,,1.0,structural_decay,1.0
baymax,BayMax,Derivatives,avax_core,1,1,1157,1157,2.69078,2.69078,0.0,1.0,0.0,1.0,low_tvl_on_avax,lt_10k,1.0,0,1,core_eligible,,1.0,structural_decay,1.0
beefy,Beefy,Yield Aggregator,avax_core,1,1,1746,1746,1904221.41172,144605617.69734,142701396.28562,0.013168377840655825,26.0,1.0,active_on_avax,ge_10k,0.0,0,1,core_eligible,,1.0,resilient_or_unproven,0.0
benqi-lending,Benqi Lending,Lending,avax_core,1,1,1663,1663,137329231.48634,137329231.48634,0.0,1.0,1.0,1.0,active_on_avax,ge_10k,0.0,0,1,core_eligible,,1.0,resilient_or_unproven,0.0
benqi-staked-avax,Benqi Staked Avax,Liquid Staking,avax_core,1,1,1481,1481,220728496.62846,220728496.62846,0.0,1.0,1.0,1.0,active_on_avax,ge_10k,0.0,0,1,core_eligible,,1.0,resilient_or_unproven,0.0
beta-finance-v1,Beta Finance V1,Lending,avax_core,1,1,1490,1656,7719.17494,511025.3695,503306.19456,0.015105267567347262,1.0,1.0,low_tvl_on_avax,lt_10k,1.0,0,1,core_eligible,,1.0,structural_decay,1.0
betswirl,BetSwirl,Prediction Market,total_only,0,1,0,1325,0.0,0.0,0.0,0.0,0.0,0.25,no_avax_core_history,unknown,,0,0,boundary_excluded,no_avax_core_history_total_only,0.25,missing_avax_history,
bifi,BiFi,Lending,avax_core,1,1,1677,1880,2116.22129,8176894.12575,8174777.90446,0.0002588050251666792,4.0,1.0,low_tvl_on_avax,lt_10k,1.0,1,1,core_eligible,,1.0,resilient_or_unproven,0.0
bim,BIM,Yield Aggregator,avax_core,1,1,136,245,0.0,639142.8914900001,639142.8914900001,0.0,4.0,0.841644,low_tvl_on_avax,lt_10k,1.0,1,1,core_eligible,,0.841644,censored,
bitbond-lockers,Bitbond Lockers,Token Locker,avax_core,1,1,350,350,0.0,9519160.886009999,9519160.886009999,0.0,3.0,0.987671,low_tvl_on_avax,lt_10k,1.0,1,1,core_eligible,,0.987671,censored,
bitbond-sales,Bitbond Sales,Launchpad,avax_core,1,1,361,361,0.0,55930.0914,55930.0914,0.0,1.0,0.996712,low_tvl_on_avax,lt_10k,1.0,0,1,core_eligible,,0.996712,censored,
blackhole-amm,Blackhole AMM,Dexs,avax_core,1,1,242,242,6394590.44492,6394590.44492,0.0,1.0,1.0,0.898904,active_on_avax,ge_10k,0.0,0,1,core_eligible,,0.898904,censored,
blackhole-clmm,Blackhole CLMM,Dexs,avax_core,1,1,242,242,33646582.96701,33646582.96701,0.0,1.0,1.0,0.898904,active_on_avax,ge_10k,0.0,0,1,core_eligible,,0.898904,censored,
blizz-finance,Blizz Finance,Lending,avax_core,1,1,666,666,0.0,0.0,0.0,0.0,0.0,1.0,low_tvl_on_avax,lt_10k,1.0,0,1,core_eligible,,1.0,structural_decay,1.0
blizzard,Blizzard,Yield,avax_core,1,1,704,704,2535.98902,2535.98902,0.0,1.0,0.0,1.0,low_tvl_on_avax,lt_10k,1.0,0,1,core_eligible,,1.0,structural_decay,1.0
boofinance,BooFinance,Yield,avax_core,1,1,1523,1523,16674.1814,16674.1814,0.0,1.0,1.0,1.0,active_on_avax,ge_10k,0.0,0,1,core_eligible,,1.0,structural_decay,1.0
bridgers,Bridgers,Dexs,avax_core,1,1,626,626,14372.62965,1779653.90781,1765281.27816,0.008076081302620585,8.0,1.0,active_on_avax,ge_10k,0.0,0,1,core_eligible,,1.0,resilient_or_unproven,0.0
brokkr-finance,Brokkr Finance,Indexes,avax_core,1,1,1063,1063,6539.32634,7084.86885,545.5425100000002,0.9229989260845668,0.0,1.0,low_tvl_on_avax,lt_10k,1.0,0,1,core_eligible,,1.0,resilient_or_unproven,0.0
butterfly-finance,Butterfly Finance,Farm,avax_core,1,1,812,812,17.75212,17.75212,0.0,1.0,0.0,1.0,low_tvl_on_avax,lt_10k,1.0,0,1,core_eligible,,1.0,structural_decay,1.0
button-wrappers,Button Wrappers,CDP,avax_core,1,1,826,826,121.86779,35637.696729999996,35515.82894,0.0034196314908704825,2.0,1.0,low_tvl_on_avax,lt_10k,1.0,0,1,core_eligible,,1.0,structural_decay,1.0
bxh,BXH,Dexs,avax_core,1,1,1382,1414,3264.35217,41360.63090999999,38096.278739999994,0.07892413868403442,1.0,1.0,low_tvl_on_avax,lt_10k,1.0,0,1,core_eligible,,1.0,structural_decay,1.0
cables-finance,Cables Finance,Dexs,avax_core,1,1,496,496,0.0,0.0,0.0,0.0,0.0,1.0,low_tvl_on_avax,lt_10k,1.0,0,1,core_eligible,,1.0,resilient_or_unproven,0.0
cakedao,CakeDAO,Reserve Currency,avax_core,1,1,624,624,0.0,0.0,0.0,0.0,0.0,1.0,low_tvl_on_avax,lt_10k,1.0,0,1,core_eligible,,1.0,structural_decay,1.0
canary,Canary,Dexs,avax_core,1,1,1742,1742,25785.55847,26014.79137,229.23289999999906,0.9911883629301618,1.0,1.0,active_on_avax,ge_10k,0.0,0,1,core_eligible,,1.0,resilient_or_unproven,0.0
cavalre,CavalRe,Dexs,avax_core,1,1,910,910,12361.95284,12361.95284,0.0,1.0,1.0,1.0,active_on_avax,ge_10k,0.0,0,1,core_eligible,,1.0,structural_decay,1.0
cesta-finance,Cesta Finance,Reserve Currency,avax_core,1,1,1501,1501,0.0,0.0,0.0,0.0,0.0,1.0,low_tvl_on_avax,lt_10k,1.0,0,1,core_eligible,,1.0,resilient_or_unproven,0.0
chaingpt,ChainGPT,Launchpad,avax_core,1,1,625,805,0.0,38313.81886,38313.81886,0.0,1.0,1.0,low_tvl_on_avax,lt_10k,1.0,0,1,core_eligible,,1.0,structural_decay,1.0
champion-finance,Champion Finance,Algo-Stables,avax_core,1,1,1286,1286,0.0,0.0,0.0,0.0,0.0,1.0,low_tvl_on_avax,lt_10k,1.0,0,1,core_eligible,,1.0,structural_decay,1.0
chikn-farm,Chikn Farm,Services,avax_core,1,1,1524,1524,0.0,0.0,0.0,0.0,0.0,1.0,low_tvl_on_avax,lt_10k,1.0,0,1,core_eligible,,1.0,structural_decay,1.0
cian-automation,CIAN Automation,Yield,avax_core,1,1,726,726,938760.61484,1037009.9744000001,98249.35956000001,0.9052570737163393,3.0,1.0,active_on_avax,ge_10k,0.0,0,1,core_eligible,,1.0,resilient_or_unproven,0.0
clearpool-lending,Clearpool Lending,Uncollateralized Lending,avax_core,1,1,658,1415,46.05894,628250.19973,628204.14079,7.331305269746755e-05,5.0,1.0,low_tvl_on_avax,lt_10k,1.0,1,1,core_eligible,,1.0,structural_decay,1.0
cleopatra-dao,Cleopatra DAO,Yield Aggregator,avax_core,1,1,596,596,0.0,0.0,0.0,0.0,0.0,1.0,low_tvl_on_avax,lt_10k,1.0,0,1,core_eligible,,1.0,structural_decay,1.0
clovis,Clovis,Yield Aggregator,avax_core,1,1,168,168,1233.50354,280106.02446,278872.52092,0.004403702285154342,3.0,0.838082,low_tvl_on_avax,lt_10k,1.0,1,1,core_eligible,,0.838082,censored,
coinscope,Coinscope,Token Locker,avax_core,1,1,965,965,0.0,14965.52691,14965.52691,0.0,1.0,1.0,low_tvl_on_avax,lt_10k,1.0,0,1,core_eligible,,1.0,structural_decay,1.0
colony,Colony,Yield,avax_core,1,1,1550,1550,113036.02187,284381.41168,171345.38981000002,0.39748034585746306,2.0,1.0,active_on_avax,ge_10k,0.0,0,1,core_eligible,,1.0,resilient_or_unproven,0.0
complus-network,Complus Network,Dexs,avax_core,1,1,1844,1844,61370.99588,64146.21248,2775.2165999999997,0.956736080078535,1.0,1.0,active_on_avax,ge_10k,0.0,0,1,core_eligible,,1.0,structural_decay,1.0
contango-v2,Contango V2,Derivatives,avax_core,1,1,431,708,454797.56121,15848577.3736,15393779.81239,0.028696428107647422,9.0,1.0,active_on_avax,ge_10k,0.0,0,1,core_eligible,,1.0,censored,
cook-finance,Cook Finance,Indexes,avax_core,1,1,1559,1597,9953.3351,132488.97919,122535.64409000002,0.0751257588431269,2.0,1.0,low_tvl_on_avax,lt_10k,1.0,1,1,core_eligible,,1.0,structural_decay,1.0
core-bridge,CORE Bridge,Canonical Bridge,avax_core,1,1,475,475,871506.58907,2580583.28048,1709076.6914100002,0.3377169013153863,6.0,1.0,active_on_avax,ge_10k,0.0,0,1,core_eligible,,1.0,resilient_or_unproven,0.0
cougarswap,CougarSwap,Yield,avax_core,1,1,1535,1535,5034.2632,43950.47661,38916.21341,0.11454399561288399,2.0,1.0,low_tvl_on_avax,lt_10k,1.0,0,1,core_eligible,,1.0,structural_decay,1.0
coup-farm,Coup Farm,Yield,avax_core,1,1,1532,1532,15.19103,15.19103,0.0,1.0,0.0,1.0,low_tvl_on_avax,lt_10k,1.0,0,1,core_eligible,,1.0,structural_decay,1.0
crabada,Crabada,Gaming,avax_core,1,1,1517,1517,0.0,0.0,0.0,0.0,0.0,1.0,low_tvl_on_avax,lt_10k,1.0,0,1,core_eligible,,1.0,structural_decay,1.0
createmytoken,CreateMyToken,Launchpad,avax_core,1,1,402,402,9.1064,27649.289080000002,27640.18268,0.0003293538569346825,1.0,1.0,low_tvl_on_avax,lt_10k,1.0,0,1,core_eligible,,1.0,censored,
crocodile-finance,Crocodile Finance,Algo-Stables,avax_core,1,1,256,256,4.86613,4.86613,0.0,1.0,0.0,0.910411,low_tvl_on_avax,lt_10k,1.0,0,1,core_eligible,,0.910411,censored,
crypto-lottery,Crypto Lottery,Luck Games,avax_core,1,1,664,668,2.22,10.56977,8.34977,0.21003295246727224,0.0,1.0,low_tvl_on_avax,lt_10k,1.0,0,1,core_eligible,,1.0,structural_decay,1.0
cryptoblades,CryptoBlades,Gaming,avax_core,1,1,1307,1307,0.0,0.0,0.0,0.0,0.0,1.0,low_tvl_on_avax,lt_10k,1.0,0,1,core_eligible,,1.0,structural_decay,1.0
cryptoyieldfocus,CryptoYieldFocus,Farm,avax_core,1,1,728,728,3377.75393,3377.75393,0.0,1.0,0.0,1.0,low_tvl_on_avax,lt_10k,1.0,0,1,core_eligible,,1.0,structural_decay,1.0
curve-dex,Curve DEX,Dexs,avax_core,1,1,1609,2213,2194030.77099,1811343134.0497103,1809149103.2787204,0.001211272855897102,26.0,1.0,active_on_avax,ge_10k,0.0,0,1,core_eligible,,1.0,structural_decay,1.0
cycle-finance,Cycle Finance,Yield Aggregator,avax_core,1,1,1653,1653,22571.60364,22571.60364,0.0,1.0,1.0,1.0,active_on_avax,ge_10k,0.0,0,1,core_eligible,,1.0,structural_decay,1.0
cytonic-airdrop-campaign,Cytonic Airdrop Campaign,Farm,avax_core,1,1,470,470,3186.6193,410387.92928000004,407201.30998,0.007764895292097709,6.0,1.0,low_tvl_on_avax,lt_10k,1.0,1,1,core_eligible,,1.0,structural_decay,1.0
deepseadao,DeepSeaDAO,Reserve Currency,avax_core,1,1,613,613,0.44685,0.44685,0.0,1.0,0.0,1.0,low_tvl_on_avax,lt_10k,1.0,0,1,core_eligible,,1.0,structural_decay,1.0
defi-yield-protocol,Defi Yield Protocol,Yield,total_only,0,1,0,1775,0.0,547.6956,547.6956,0.0,0.0,0.25,no_avax_core_history,unknown,,0,0,boundary_excluded,no_avax_core_history_total_only,0.25,missing_avax_history,
deficurrent,DefiCurrent,Yield Aggregator,avax_core,1,1,460,460,137.00868,423.7115,286.70282,0.32335369703206074,0.0,1.0,low_tvl_on_avax,lt_10k,1.0,0,1,core_eligible,,1.0,structural_decay,1.0
defiedge,DefiEdge,Liquidity Manager,avax_core,1,1,376,722,778.68256,878329.83335,877551.15079,0.0008865491418298527,4.0,1.0,low_tvl_on_avax,lt_10k,1.0,1,1,core_eligible,,1.0,censored,
definitive-yield-vaults,Definitive Yield Vaults,Yield,avax_core,1,1,756,756,6139.72513,43324.911230000005,37185.186100000006,0.14171350744161695,1.0,1.0,low_tvl_on_avax,lt_10k,1.0,0,1,core_eligible,,1.0,resilient_or_unproven,0.0
defrost,Defrost,CDP,avax_core,1,1,1567,1567,81395.44294,81395.44294,0.0,1.0,1.0,1.0,active_on_avax,ge_10k,0.0,0,1,core_eligible,,1.0,structural_decay,1.0
deltaprime,DeltaPrime,Leveraged Farming,avax_core,1,1,1080,1080,2603900.55404,4253515.1506199995,1649614.5965799997,0.6121761559167013,2.0,1.0,active_on_avax,ge_10k,0.0,0,1,core_eligible,,1.0,resilient_or_unproven,0.0
dexalot-dex,Dexalot DEX,Dexs,avax_core,1,1,762,762,443342.88294,2783095.21066,2339752.32772,0.1592984965954014,5.0,1.0,active_on_avax,ge_10k,0.0,0,1,core_eligible,,1.0,resilient_or_unproven,0.0
dexfinance-etf,DexFinance ETF,Yield,avax_core,1,1,618,618,12.35042,4985.98702,4973.6366,0.0024770261034494233,0.0,1.0,low_tvl_on_avax,lt_10k,1.0,0,1,core_eligible,,1.0,structural_decay,1.0
dexpad,DexPad,Launchpad,avax_core,1,1,1346,1346,0.03492,33634.58079,33634.54587,1.0382171913491536e-06,1.0,1.0,low_tvl_on_avax,lt_10k,1.0,0,1,core_eligible,,1.0,structural_decay,1.0
dexvaults,dexVAULTS,Yield,avax_core,1,1,566,566,4.73207,15175.611589999999,15170.879519999999,0.00031182071127322525,0.0,1.0,low_tvl_on_avax,lt_10k,1.0,0,1,core_eligible,,1.0,structural_decay,1.0
dforce-lending,dForce Lending,Lending,avax_core,1,1,1361,1955,0.0,1036885.06964,1036885.06964,0.0,2.0,1.0,low_tvl_on_avax,lt_10k,1.0,1,1,core_eligible,,1.0,structural_decay,1.0
diamondswap,Diamondswap,Dexs,avax_core,1,1,442,442,43.27642,341107.61730000004,341064.34088000003,0.00012687028317499843,2.0,1.0,low_tvl_on_avax,lt_10k,1.0,1,1,core_eligible,,1.0,censored,
dodo-amm,DODO AMM,Dexs,avax_core,1,1,879,1839,1847660.63037,12771560.99144,10923900.36107,0.14466991400725207,10.0,1.0,active_on_avax,ge_10k,0.0,0,1,core_eligible,,1.0,resilient_or_unproven,0.0
domani-protocol,Domani Protocol,Indexes,avax_core,1,1,1053,1810,782.40496,96167.64411,95385.23915,0.008135844100590185,1.0,1.0,low_tvl_on_avax,lt_10k,1.0,0,1,core_eligible,,1.0,structural_decay,1.0
donaswap-v2,DONASWAP V2,Dexs,avax_core,1,1,519,519,0.0,1.01802,1.01802,0.0,0.0,1.0,low_tvl_on_avax,lt_10k,1.0,0,1,core_eligible,,1.0,structural_decay,1.0
dripit,dripit,Prediction Market,avax_core,1,1,301,301,3676.26172,3676.26172,0.0,1.0,0.0,0.947397,low_tvl_on_avax,lt_10k,1.0,0,1,core_eligible,,0.947397,censored,
dumpex,DumpEX,Farm,avax_core,1,1,709,709,0.08995,4.843829999999999,4.753879999999999,0.01857001587586683,0.0,1.0,low_tvl_on_avax,lt_10k,1.0,0,1,core_eligible,,1.0,structural_decay,1.0
dxsale,DxSale,Launchpad,avax_core,1,1,1230,1230,29392.91632,27257151.730110005,27227758.813790005,0.0010783561177278363,8.0,1.0,active_on_avax,ge_10k,0.0,0,1,core_eligible,,1.0,resilient_or_unproven,0.0
dypius,Dypius,Yield,avax_core,1,1,1062,1062,0.0,0.0,0.0,0.0,0.0,1.0,low_tvl_on_avax,lt_10k,1.0,0,1,core_eligible,,1.0,structural_decay,1.0
dyson,Dyson,Liquidity Manager,avax_core,1,1,999,1138,0.00121,260415.15786999997,260415.15665999998,4.646426920371646e-09,3.0,1.0,low_tvl_on_avax,lt_10k,1.0,1,1,core_eligible,,1.0,structural_decay,1.0
echidna-finance,Echidna Finance,Yield,avax_core,1,1,1139,1139,0.0,0.0,0.0,0.0,0.0,1.0,low_tvl_on_avax,lt_10k,1.0,0,1,core_eligible,,1.0,structural_decay,1.0
elasticswap,ElasticSwap,Dexs,avax_core,1,1,1326,1326,1973.83719,4105.51419,2131.6769999999997,0.48077709603532026,0.0,1.0,low_tvl_on_avax,lt_10k,1.0,0,1,core_eligible,,1.0,structural_decay,1.0
